"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
20466,"CHGR_FULL_TIME","CHGR_FULL_TIME","-","uint16",2,"0","0","65535",0,"PMU",0,0,"DEFAULT"
20465,"PMU_CHGR_TEMP","CHGR MOS TEMP","-","int16",2,"0","0","16384",0,"PMU",0,0,"DEFAULT"
20464,"PMU_CHGR_SWITCH","Charger switch","-","uint8",1,"1","0","1",0,"PMU",1,0,"DEFAULT"
20463,"BMS_PF_STATUS_D","pf register D of afe","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20462,"BMS_PF_STATUS_C","pf register C of afe","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20461,"BMS_PF_STATUS_B","pf register B of afe","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20460,"BMS_PF_STATUS_A","pf register A of afe ","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20459,"BMS_PDSG_CTRL","Ctrl Pdsg On or Off","-","uint8",1,"0","0","255",0,"BMS",1,0,"DEFAULT"
20458,"BMS_CLR_ALL_PF_FLAG","clear all afe and bms -sdk pf flag","1-CLR,0-N","uint8",1,"0","0","255",0,"BMS",1,0,"DEFAULT"
20457,"DRV_WWDG_RESET_NUM","DRV_WWDG_RESET_NUM","-","uint32",4,"0","0","4292967295",0,"PMU",1,0,"DEFAULT"
20456,"DRV_PD_CABLE_ERROR","Cable errors up to three times","-","uint8",1,"0","0","255",0,"PMU",0,0,"DEFAULT"
20455,"BMS_SET_BALANCE_MAXTIME_IN_CBTEST_MODE","Bms set balance max time in balance mode","s","uint8",1,"2","0","255",0,"BMS",1,0,"DEFAULT"
20454,"BMS_SELF_TEST_MODE","Enter or exit self test,1 = Exit,other = Enter","1=Exit","uint8",1,"0","0","255",0,"BMS",1,0,"DEFAULT"
20453,"BP_CALENDAR_TIME_MS","System calendar time in millisecond","-","uint64",8,"0","0","18446744073709551615",0,"BP",0,0,"DEFAULT"
20452,"APP_CHG_PWR","APP_CHG_PWR","0.1W","uint16",2,"0","0","65535",0,"PMU",0,0,"DEFAULT"
20451,"APP_CHG_ERR_VALUE","APP_CHG_ERR_VALUE","-","uint8",1,"0","0","255",0,"PMU",0,0,"DEFAULT"
20450,"APP_CHG_STATE","APP_CHG_STATE","-","uint8",1,"0","0","255",0,"PMU",0,0,"DEFAULT"
20449,"MOTOR_TEMP","MOTOR_TEMP","-","int16",2,"0","-32767","32767",0,"PMU",0,0,"DEFAULT"
20448,"MOTOR_CURR","MOTOR_CURR","mA","uint16",2,"0","0","65535",0,"PMU",0,0,"DEFAULT"
